tick,population,births,deaths,avg_energy,avg_age,groups,neighbor_checks,tick_ms
0,120,0,0,9.6818,10.1211,1,274,9.230
1,120,0,0,9.7636,10.1411,3,276,5.320
2,120,0,0,9.8455,10.1611,5,278,5.415
3,120,0,0,9.9274,10.1811,7,278,6.138
4,120,0,0,10.0093,10.2011,8,278,5.783
5,120,0,0,10.0913,10.2211,8,280,5.363
6,120,0,0,10.1732,10.2411,8,280,7.264
7,120,0,0,10.2552,10.2611,8,280,5.439
8,120,0,0,10.3371,10.2811,8,278,5.712
9,120,0,0,10.4190,10.3011,8,282,7.016
10,120,0,0,10.5010,10.3211,8,282,5.455
11,120,0,0,10.5828,10.3411,8,286,7.092
12,120,0,0,10.6647,10.3611,8,288,12.862
13,120,0,0,10.7465,10.3811,8,286,18.256
14,120,0,0,10.8283,10.4011,8,286,21.282
15,120,0,0,10.9101,10.4211,8,284,7.038
16,120,0,0,10.9919,10.4411,8,282,9.354
17,120,0,0,11.0736,10.4611,8,282,5.558
18,120,0,0,11.1553,10.4811,8,282,5.728
19,120,0,0,11.2370,10.5011,8,280,5.634
20,120,0,0,11.3186,10.5211,8,280,5.575
21,120,0,0,11.4003,10.5411,8,280,9.917
22,120,0,0,11.4818,10.5611,8,280,6.007
23,120,0,0,11.5634,10.5811,8,274,6.388
24,120,0,0,11.6449,10.6011,8,276,7.111
25,120,0,0,11.7264,10.6211,8,278,5.610
26,120,0,0,11.8079,10.6411,8,278,8.514
27,120,0,0,11.8893,10.6611,8,278,5.633
28,120,0,0,11.9707,10.6811,8,282,6.010
29,120,1,1,12.0018,10.5302,9,278,6.096
30,120,1,1,12.0325,10.3790,9,278,5.611
31,120,0,0,12.1131,10.3990,9,282,6.999
32,120,0,0,12.1937,10.4190,9,288,6.327
33,120,1,1,12.2226,10.2688,9,285,5.703
34,120,0,0,12.3032,10.2888,9,274,5.787
35,120,0,0,12.3838,10.3088,9,274,5.686
36,120,0,0,12.4643,10.3288,9,278,13.560
37,120,0,0,12.5448,10.3488,9,278,6.469
38,120,0,0,12.6254,10.3688,10,282,7.565
39,120,0,0,12.7059,10.3888,11,276,6.063
40,120,0,0,12.7865,10.4088,11,274,13.477
41,120,0,0,12.8671,10.4288,11,272,6.267
42,120,0,0,12.9478,10.4488,11,272,7.692
43,120,0,0,13.0284,10.4688,11,274,6.040
44,120,0,0,13.1090,10.4888,11,278,5.908
45,120,0,0,13.1897,10.5088,11,278,7.926
46,120,0,0,13.2703,10.5288,11,276,6.100
47,120,0,0,13.3510,10.5488,10,278,7.800
48,120,0,0,13.4315,10.5688,10,280,5.963
49,120,0,0,13.5114,10.5888,10,274,6.546
50,119,0,1,13.5901,10.5631,10,270,7.228
51,119,0,0,13.6701,10.5831,10,262,5.814
52,119,0,0,13.7500,10.6031,10,264,7.875
53,119,1,1,13.7710,10.4544,10,264,5.911
54,119,0,0,13.8510,10.4744,10,264,6.745
55,119,0,0,13.9310,10.4944,10,262,10.159
56,119,0,0,14.0109,10.5144,10,258,6.296
57,119,0,0,14.0909,10.5344,10,258,6.340
58,119,0,0,14.1715,10.5544,10,256,5.932
59,119,0,0,14.2515,10.5744,10,258,9.314
60,119,0,0,14.3315,10.5944,10,260,19.234
61,119,0,0,14.4115,10.6144,10,260,6.699
62,119,0,0,14.4915,10.6344,10,258,7.748
63,119,0,0,14.5715,10.6544,10,258,5.975
64,119,1,1,14.5880,10.5050,11,260,6.253
65,119,1,1,14.6056,10.3568,11,252,6.320
66,119,0,0,14.6857,10.3768,11,256,5.945
67,119,0,0,14.7655,10.3968,11,252,6.772
68,119,0,0,14.8439,10.4168,11,252,11.630
69,119,0,0,14.9224,10.4368,11,250,7.643
70,119,0,0,15.0009,10.4568,11,250,6.028
71,119,0,0,15.0787,10.4768,11,248,7.946
72,119,2,2,15.0258,10.1590,11,248,6.074
73,119,0,0,15.1036,10.1790,11,244,7.146
74,119,1,1,15.1151,10.0302,11,243,7.101
75,119,0,0,15.1921,10.0502,11,248,6.028
76,119,0,0,15.2692,10.0702,11,252,7.931
77,119,0,0,15.3462,10.0902,11,256,6.441
78,119,0,0,15.4231,10.1102,11,256,6.849
79,120,1,0,15.3036,10.0458,11,262,6.123
80,120,0,0,15.3800,10.0658,11,266,6.330
81,120,0,0,15.4564,10.0858,11,268,8.096
82,120,0,0,15.5327,10.1058,11,268,6.227
83,120,0,0,15.6091,10.1258,11,274,8.220
84,120,0,0,15.6863,10.1458,11,274,6.300
85,120,0,0,15.7634,10.1658,11,278,7.202
86,120,0,0,15.8413,10.1858,11,284,7.385
87,120,0,0,15.9192,10.2058,11,282,6.290
88,120,0,0,15.9964,10.2258,11,284,8.202
89,120,0,0,16.0692,10.2458,11,282,6.412
90,120,0,0,16.1411,10.2658,11,286,8.194
91,120,0,0,16.2130,10.2858,11,290,6.340
92,120,0,0,16.2849,10.3058,11,292,7.503
93,120,0,0,16.3576,10.3258,11,298,7.136
94,120,0,0,16.4303,10.3458,11,298,10.916
95,121,1,0,16.3005,10.2801,11,298,13.392
96,121,1,1,16.3223,10.1345,11,300,8.290
97,121,0,0,16.3965,10.1545,11,300,6.507
98,121,0,0,16.4696,10.1745,11,300,8.406
99,121,0,0,16.5401,10.1945,11,296,6.434
100,121,0,0,16.6105,10.2145,11,296,13.771
101,122,1,0,16.4795,10.1507,11,296,12.488
102,122,0,0,16.5509,10.1707,11,300,6.536
103,122,0,0,16.6216,10.1907,11,302,6.968
104,122,0,0,16.6939,10.2107,11,300,6.507
105,122,0,0,16.7662,10.2307,11,302,7.069
106,123,1,0,16.6365,10.1673,11,304,7.906
107,123,0,0,16.7093,10.1873,11,324,7.080
108,123,0,0,16.7804,10.2073,11,324,8.807
109,123,0,0,16.8495,10.2273,11,322,6.814
110,123,0,0,16.9147,10.2473,11,326,8.752
111,123,0,0,16.9800,10.2673,11,326,6.703
112,123,0,0,17.0452,10.2873,11,328,6.755
113,123,0,0,17.1111,10.3073,11,328,6.659
114,123,0,0,17.1771,10.3273,11,330,6.933
115,124,1,0,17.0394,10.2639,11,330,8.530
116,125,1,0,16.9046,10.2016,12,334,8.967
117,125,0,0,16.9708,10.2216,12,338,7.278
118,126,1,0,16.8377,10.1603,12,334,7.058
119,126,0,0,16.9039,10.1803,12,342,7.458
120,126,0,0,16.9696,10.2003,12,348,6.983
121,127,1,0,16.8381,10.1398,12,348,8.737
122,127,0,0,16.9032,10.1598,12,362,7.016
123,127,0,0,16.9672,10.1798,12,364,8.928
124,127,0,0,17.0308,10.1998,12,362,7.114
125,127,0,0,17.0940,10.2198,12,364,8.842
126,127,0,0,17.1575,10.2398,12,366,14.599
127,127,0,0,17.2202,10.2598,12,364,15.807
128,127,0,0,17.2820,10.2798,12,364,7.492
129,127,0,0,17.3435,10.2998,12,368,7.127
130,128,1,0,17.2064,10.2392,12,370,7.188
131,128,0,0,17.2679,10.2592,12,386,7.047
132,129,1,0,17.1333,10.1995,12,384,15.762
133,129,0,0,17.1941,10.2195,12,400,10.888
134,129,0,0,17.2555,10.2395,12,402,7.188
135,129,0,0,17.3157,10.2595,12,398,9.340
136,129,0,0,17.3758,10.2795,12,398,7.162
137,129,0,0,17.4358,10.2995,12,402,9.492
138,129,0,0,17.4966,10.3195,12,402,7.551
139,129,0,0,17.5573,10.3395,12,406,16.925
140,129,0,0,17.6179,10.3595,12,406,13.607
141,130,1,0,17.4809,10.2997,12,408,12.943
142,130,0,0,17.5412,10.3197,12,420,11.907
143,130,0,0,17.6012,10.3397,12,422,10.973
144,131,1,0,17.4674,10.2806,12,420,13.387
145,131,0,0,17.5307,10.3006,12,436,13.528
146,131,0,0,17.5931,10.3206,12,436,13.933
147,131,0,0,17.6548,10.3406,12,436,12.623
148,131,0,0,17.7152,10.3606,12,440,9.968
149,131,0,0,17.7748,10.3806,12,442,8.065
150,131,0,0,17.8318,10.4006,12,444,13.701
151,131,0,0,17.8897,10.4206,12,444,9.036
152,131,0,0,17.9491,10.4406,12,444,9.186
153,132,1,0,17.8133,10.3814,13,446,8.144
154,133,1,0,17.6792,10.3232,13,448,9.539
155,134,1,0,17.5483,10.2660,13,452,7.777
156,134,0,0,17.6083,10.2860,13,458,7.906
157,134,0,0,17.6688,10.3060,13,460,7.781
158,134,0,0,17.7295,10.3260,13,460,16.158
159,134,0,0,17.7922,10.3460,13,458,8.080
160,134,0,0,17.8539,10.3660,13,456,8.211
161,134,0,0,17.9150,10.3860,13,458,11.302
162,134,0,0,17.9768,10.4060,13,462,17.640
163,135,1,0,17.8439,10.3487,13,468,7.861
164,135,0,0,17.9051,10.3687,13,472,8.451
165,135,0,0,17.9661,10.3887,13,472,7.875
166,135,0,0,18.0267,10.4087,13,474,10.127
167,135,0,0,18.0866,10.4287,13,472,8.620
168,135,0,0,18.1450,10.4487,13,472,9.309
169,135,0,0,18.2021,10.4687,13,470,8.117
170,135,0,0,18.2586,10.4887,13,474,8.390
171,135,0,0,18.3142,10.5087,13,476,8.141
172,135,0,0,18.3698,10.5287,13,482,8.449
173,135,0,0,18.4217,10.5487,13,482,8.061
174,135,0,0,18.4719,10.5687,13,486,7.993
175,135,0,0,18.5226,10.5887,13,486,7.958
176,135,0,0,18.5730,10.6087,13,486,14.973
177,135,0,0,18.6227,10.6287,13,484,11.117
178,135,0,0,18.6716,10.6487,13,488,9.513
179,135,0,0,18.7209,10.6687,13,490,10.620
180,135,0,0,18.7705,10.6887,13,486,13.299
181,135,0,0,18.8198,10.7087,13,492,12.244
182,135,0,0,18.8691,10.7287,13,484,7.819
183,135,0,0,18.9168,10.7487,13,484,10.018
184,135,0,0,18.9658,10.7687,13,488,7.848
185,135,0,0,19.0119,10.7887,13,494,9.854
186,135,0,0,19.0584,10.8087,13,500,7.825
187,135,0,0,19.1054,10.8287,13,496,10.309
188,135,0,0,19.1507,10.8487,13,502,10.706
189,134,0,1,19.3208,10.7949,13,499,17.230
190,134,0,0,19.3661,10.8149,13,500,8.279
191,134,0,0,19.4119,10.8349,13,498,8.192
192,134,0,0,19.4565,10.8549,13,500,8.289
193,134,0,0,19.5011,10.8749,13,502,14.599
194,134,0,0,19.5455,10.8949,13,502,14.776
195,134,0,0,19.5888,10.9149,13,502,7.867
196,134,0,0,19.6327,10.9349,13,506,9.703
197,134,0,0,19.6781,10.9549,13,504,8.610
198,134,0,0,19.7232,10.9749,13,506,9.228
199,134,0,0,19.7697,10.9949,13,506,28.239
200,134,0,0,19.8159,11.0149,13,508,10.088
201,135,1,0,19.6548,10.9532,13,510,8.587
202,135,0,0,19.7011,10.9732,13,516,7.775
203,135,0,0,19.7479,10.9932,13,518,9.753
204,135,0,0,19.7956,11.0132,13,518,8.079
205,135,0,0,19.8439,11.0332,13,516,9.925
206,135,0,0,19.8908,11.0532,13,526,8.007
207,135,0,0,19.9370,11.0732,13,524,9.243
208,135,0,0,19.9830,11.0932,13,530,10.786
209,135,0,0,20.0291,11.1132,13,524,7.978
210,135,0,0,20.0749,11.1332,13,530,8.404
211,135,0,0,20.1184,11.1532,13,530,8.076
212,135,0,0,20.1620,11.1732,13,534,8.045
213,135,0,0,20.2053,11.1932,13,526,7.920
214,135,0,0,20.2500,11.2132,13,526,8.146
215,135,0,0,20.2952,11.2332,13,524,7.918
216,136,1,0,20.1320,11.1704,13,522,8.105
217,136,0,0,20.1769,11.1904,13,524,8.028
218,136,0,0,20.2206,11.2104,13,528,8.320
219,136,0,0,20.2645,11.2304,12,528,8.070
220,136,0,0,20.3068,11.2504,12,526,8.358
221,136,0,0,20.3490,11.2704,12,526,8.301
222,136,0,0,20.3920,11.2904,12,524,8.155
223,136,0,0,20.4339,11.3104,12,522,8.569
224,136,0,0,20.4757,11.3304,12,522,8.206
225,136,0,0,20.5174,11.3504,12,522,8.194
226,136,0,0,20.5605,11.3704,12,520,8.185
227,136,0,0,20.6052,11.3904,12,524,8.356
228,136,0,0,20.6475,11.4104,12,522,8.247
229,136,1,1,20.6331,11.2832,12,518,8.322
230,136,0,0,20.6778,11.3032,12,522,10.093
231,136,0,0,20.7219,11.3232,12,518,8.312
232,136,0,0,20.7662,11.3432,12,520,11.324
233,136,0,0,20.8112,11.3632,12,522,20.909
234,136,0,0,20.8564,11.3832,12,522,8.350
235,137,1,0,20.6902,11.3200,13,520,8.387
236,137,0,0,20.7345,11.3400,13,518,10.606
237,137,0,0,20.7773,11.3600,13,516,8.409
238,137,0,0,20.8205,11.3800,13,514,17.166
239,137,0,0,20.8627,11.4000,13,510,10.829
240,137,0,0,20.9044,11.4200,13,512,8.480
241,137,0,0,20.9430,11.4400,13,512,9.039
242,137,0,0,20.9818,11.4600,13,512,10.078
243,137,0,0,21.0206,11.4800,13,510,8.386
244,137,0,0,21.0598,11.5000,12,508,10.325
245,137,1,1,21.0546,11.3550,12,505,8.406
246,137,0,0,21.0944,11.3750,12,506,10.175
247,137,0,0,21.1336,11.3950,12,508,8.433
248,137,0,0,21.1723,11.4150,12,508,10.166
249,137,0,0,21.2117,11.4350,12,504,10.019
250,137,0,0,21.2524,11.4550,12,504,9.125
251,137,0,0,21.2918,11.4750,12,500,11.082
252,138,1,0,21.1193,11.4117,12,496,8.810
253,138,0,0,21.1596,11.4317,12,518,10.521
254,138,0,0,21.1985,11.4517,12,518,10.547
255,138,0,0,21.2367,11.4717,12,512,8.911
256,139,2,1,21.0213,11.2465,12,503,10.436
257,139,0,0,21.0619,11.2665,12,532,8.582
258,140,1,0,20.8952,11.2059,12,522,10.479
259,140,0,0,20.9371,11.2259,12,534,9.899
260,140,0,0,20.9782,11.2459,12,530,9.443
261,140,0,0,21.0197,11.2659,12,528,9.410
262,140,0,0,21.0611,11.2859,12,530,8.675
263,140,0,0,21.1012,11.3059,12,530,10.740
264,140,0,0,21.1407,11.3259,12,534,8.917
265,140,0,0,21.1795,11.3459,12,538,10.439
266,140,0,0,21.2195,11.3659,12,546,10.838
267,140,0,0,21.2598,11.3859,12,544,8.699
268,140,0,0,21.2994,11.4059,12,534,9.457
269,140,0,0,21.3395,11.4259,12,528,9.073
270,140,0,0,21.3795,11.4459,12,528,10.674
271,140,0,0,21.4195,11.4659,12,528,12.971
272,140,0,0,21.4605,11.4859,12,528,8.703
273,140,0,0,21.5020,11.5059,12,530,9.239
274,140,0,0,21.5428,11.5259,12,530,10.833
275,140,0,0,21.5834,11.5459,12,528,10.149
276,140,0,0,21.6233,11.5659,12,530,9.426
277,142,2,0,21.2449,11.4227,12,532,8.911
278,142,0,0,21.2826,11.4427,12,574,10.984
279,142,0,0,21.3204,11.4627,12,574,8.928
280,142,0,0,21.3593,11.4827,12,572,10.671
281,142,0,0,21.3984,11.5027,12,574,11.238
282,142,0,0,21.4368,11.5227,12,574,9.165
283,143,1,0,21.2686,11.4620,12,568,10.837
284,143,0,0,21.3074,11.4820,12,566,10.086
285,143,0,0,21.3486,11.5020,12,570,10.537
286,143,0,0,21.3888,11.5220,12,570,10.941
287,143,0,0,21.4314,11.5420,12,572,8.958
288,143,0,0,21.4729,11.5620,12,574,11.250
289,143,1,1,21.4678,11.4148,12,573,11.095
290,143,0,0,21.5080,11.4348,12,574,9.131
291,144,1,0,21.3431,11.3753,12,574,11.129
292,144,0,0,21.3835,11.3953,12,592,10.617
293,144,1,1,21.3845,11.2497,12,589,9.881
294,144,0,0,21.4288,11.2697,12,588,13.533
295,144,0,0,21.4746,11.2897,12,592,11.394
296,144,0,0,21.5216,11.3097,12,588,9.393
297,144,0,0,21.5691,11.3297,12,590,11.204
298,144,0,0,21.6177,11.3497,12,590,10.404
299,144,0,0,21.6666,11.3697,12,586,10.104
